,Price,Address,Latitude,Longitude,Sqft
0,855000," 38 Grenville St, Toronto ",43.6618956,-79.3857479,850.0
2,550000," 30 Roehampton Ave, Toronto ",43.708472,-79.3974985,550.0
3,665000," 65 East Liberty St, Toronto ",43.638399299999996,-79.41444820000001,650.0
5,368000," 4 Elsinore Path, Toronto ",43.6015185,-79.51006240000001,250.0
6,2700000,"110 Albertus Ave, Toronto ",43.7140682,-79.4033381,2750.0
7,200000," 10 Eddystone Ave, Toronto ",43.7494371,-79.51684809999999,1100.0
8,975000,"182 Broadway Ave, Toronto ",43.7114719,-79.3903945,1300.0
9,269900," 99 Blackwell Ave, Toronto ",43.805327399999996,-79.2202291,650.0
11,1530000,"77 Inniswood Dr, Toronto ",43.7388821,-79.30410400000001,3250.0
12,2250000,"22 Amelia St, Toronto ",43.6676189,-79.3682237,2750.0
13,2100000,"17 Danville Dr, Toronto ",43.749704200000004,-79.39614449999999,1750.0
15,357500," 1185 The Queensway, Toronto ",43.62187,-79.5215387,250.0
16,655000,"40 Barber Greene Rd, Toronto ",43.7285835,-79.3452575,1100.0
18,640100," 88 Park Lawn Rd, Toronto ",43.6240658,-79.48571120000001,750.0
21,325000," 2 Glamorgan Ave, Toronto ",43.7694947,-79.28338829999998,750.0
22,855000,"118 Symons St, Toronto ",43.6073187,-79.4967298,900.0
25,575000,"6 Gray Ave, Toronto ",43.681500799999995,-79.49364179999999,900.0
28,325000," 2 Glamorgan Ave, Toronto ",43.7694947,-79.28338829999998,750.0
29,407000," 455 Sentinel Rd, Toronto ",43.7627233,-79.50000279999999,1100.0
32,725000,"25 Thomas Mulholland Dr, Toronto ",43.7364565,-79.4766055,1750.0
34,1240000,"131 Palmerston Ave, Toronto ",43.6507544,-79.40786390000001,1750.0
35,625000," 77 Maitland Pl, Toronto ",43.6651058,-79.37690090000001,850.0
36,1300000," 1100 Lansdowne Ave, Toronto ",43.6706157,-79.44841329999998,2374.0
37,630000," 23 Lorraine Dr, Toronto ",43.7780172,-79.41662779999999,850.0
39,1300000,"110 Walpole Ave, Toronto ",43.675163700000006,-79.32489749999999,1300.0
40,752500," 35 Foundry Ave, Toronto ",43.6704971,-79.4490273,1300.0
