,Price,Address,Latitude,Longitude,Venues,Sqft
0,"855,000"," 38 Grenville St, Toronto ",43.6618956,-79.3857479,43,850
1,"885,000","2 Cabot Crt, Toronto ",43.6469817,-79.5303556,21,550
2,"550,000"," 30 Roehampton Ave, Toronto ",43.708472,-79.3974985,77,650
3,"665,000"," 65 East Liberty St, Toronto ",43.6383993,-79.4144482,22,250
4,"825,513","61 Twelfth St, Toronto ",43.5971058,-79.5095133,5,2750
5,"368,000"," 4 Elsinore Path, Toronto ",43.6015185,-79.5100624,7,1100
6,"2,700,000","110 Albertus Ave, Toronto ",43.7140682,-79.4033381,37,1300
7,"200,000"," 10 Eddystone Ave, Toronto ",43.7494371,-79.5168481,4,650
8,"975,000","182 Broadway Ave, Toronto ",43.7114719,-79.3903945,18,3250
9,"269,900"," 99 Blackwell Ave, Toronto ",43.8053274,-79.2202291,10,2750
10,"1,057,000","342 Indian Road Cres, Toronto ",43.6645415,-79.4614763,31,1750
11,"1,530,000","77 Inniswood Dr, Toronto ",43.7388821,-79.304104,11,250
12,"2,250,000","22 Amelia St, Toronto ",43.6676189,-79.3682237,47,1100
13,"2,100,000","17 Danville Dr, Toronto ",43.7497042,-79.3961445,4,750
14,"510,000","123 Galloway Rd, Toronto ",43.7597662,-79.1934829,5,750
15,"357,500"," 1185 The Queensway, Toronto ",43.62187,-79.5215387,19,900
16,"655,000","40 Barber Greene Rd, Toronto ",43.7285835,-79.3452575,16,900
17,"800,000","26 Fieldwood Dr, Toronto ",43.8245133,-79.2706506,4,750
18,"640,100"," 88 Park Lawn Rd, Toronto ",43.6240658,-79.4857112,11,1100
19,"510,000","123 Galloway Rd, Toronto ",43.7597662,-79.1934829,5,1750
20,"825,000","88 South Bonnington Ave, Toronto ",43.7052095,-79.2615117,5,1750
21,"325,000"," 2 Glamorgan Ave, Toronto ",43.7694947,-79.2833883,33,850
22,"855,000","118 Symons St, Toronto ",43.6073187,-79.4967298,3,2374
23,"575,000","6 Gray Ave, Toronto ",43.6815008,-79.4936418,4,850
24,"825,000","88 South Bonnington Ave, Toronto ",43.7052095,-79.2615117,5,1300
25,"880,000","205 Glenwood Cres, Toronto ",43.7054863,-79.307917,7,1300
26,"325,000"," 2 Glamorgan Ave, Toronto ",43.7694947,-79.2833883,33,650
27,"407,000"," 455 Sentinel Rd, Toronto ",43.7627233,-79.5000028,6,850
28,"1,134,000","31 Nineteenth St, Toronto ",43.5997943,-79.5185178,8,950
29,"725,000","25 Thomas Mulholland Dr, Toronto ",43.7364565,-79.4766055,4,1300
30,"1,240,000","131 Palmerston Ave, Toronto ",43.6507544,-79.4078639,50,1100
31,"625,000"," 77 Maitland Pl, Toronto ",43.6651058,-79.3769009,60,250
32,"1,300,000"," 1100 Lansdowne Ave, Toronto ",43.6706157,-79.4484133,10,1750
33,"630,000"," 23 Lorraine Dr, Toronto ",43.7780172,-79.4166278,61,2750
34,"726,000","15 Fallingdale Cres, Toronto ",43.7538416,-79.4946629,4,850
35,"1,300,000","110 Walpole Ave, Toronto ",43.6751637,-79.3248975,32,750
36,"752,500"," 35 Foundry Ave, Toronto ",43.6704971,-79.4490273,12,1300
37,"502,000"," 555 Yonge St, Toronto ",43.6647233,-79.3840836,70,650
38,"630,666"," 139 Merton St, Toronto ",43.696804,-79.3919164,27,850
39,"765,000"," 30 Elsie Lane, Toronto ",43.6603491,-79.4519198,15,650
40,"670,000"," 812 Burnhamthorpe Rd, Toronto ",43.6396794,-79.5815659,12,550
41,"570,000","737 Craven Rd, Toronto ",43.6759032,-79.3224933,28,1100
42,"462,500"," 10 Sunrise Ave, Toronto ",43.7197434,-79.3012217,16,1750
43,"350,000"," 3650 Kingston Rd, Toronto ",43.7424456,-79.2142294,7,2750
44,"726,000","15 Fallingdale Cres, Toronto ",43.7538416,-79.4946629,4,650
45,"1,240,000","131 Palmerston Ave, Toronto ",43.6507544,-79.4078639,50,250
46,"1,158,888","39 Crossovers St, Toronto ",43.6856555,-79.2965271,21,850
47,"705,000"," 120 Homewood Ave, Toronto ",43.66703,-79.3763862,57,2374
48,"354,500"," 2245 Eglinton Ave E, Toronto ",43.7300414,-79.2733352,9,1300
49,"1,125,000","35 Burgess Ave, Toronto ",43.6783095,-79.3083192,6,650
50,"700,000","26 Sorlyn Ave, Toronto ",43.7070502,-79.4922486,9,1300
51,"630,000"," 100 Harbour St, Toronto ",43.6417752,-79.3797532,100,1300
52,"630,666"," 139 Merton St, Toronto ",43.696804,-79.3919164,27,1300
53,"502,000"," 555 Yonge St, Toronto ",43.6647233,-79.3840836,70,850
54,"543,600"," 45 Charles St, Toronto ",43.6687178,-79.3839957,100,2750
55,"412,000"," 85 Emmett Ave, Toronto ",43.6869671,-79.5060211,1,1100
56,"1,175,000","311 Glenholme Ave, Toronto ",43.6862851,-79.4412812,7,750
57,"1,220,000","874 Manning Ave, Toronto ",43.6701473,-79.4186045,25,1300
58,"1,450,000","29 Wellman Dr, Richmond Hill ",43.9603007,-79.4409961,1,850
59,"627,500"," 25 Oxley St, Toronto ",43.6462468,-79.3945285,73,1300
60,"470,000"," 8 Mercer St, Toronto ",43.6460058,-79.3899085,93,750
61,"832,000"," 1030 King St W, Toronto ",43.641579,-79.4159028,62,850
62,"1,300,000"," 1100 Lansdowne Ave, Toronto ",43.6706157,-79.4484133,10,950
63,"1,300,000","110 Walpole Ave, Toronto ",43.6751637,-79.3248975,32,1750
64,"630,000"," 100 Harbour St, Toronto ",43.6417752,-79.3797532,100,650
65,"752,500"," 35 Foundry Ave, Toronto ",43.6704971,-79.4490273,12,1100
66,"670,000"," 812 Burnhamthorpe Rd, Toronto ",43.6396794,-79.5815659,12,950
67,"582,000"," 125 Village Green Sq, Toronto ",43.7774482,-79.2810949,20,1900
68,"725,500"," 120 Homewood Ave, Toronto ",43.66703,-79.3763862,57,2250
69,"1,158,888","39 Crossovers St, Toronto ",43.6856555,-79.2965271,21,1300
70,"462,500"," 10 Sunrise Ave, Toronto ",43.7197434,-79.3012217,16,2750
71,"354,500"," 2245 Eglinton Ave E, Toronto ",43.7300414,-79.2733352,9,1100
72,"1,125,000","35 Burgess Ave, Toronto ",43.6783095,-79.3083192,6,950
73,"630,666"," 139 Merton St, Toronto ",43.696804,-79.3919164,27,550
74,"800,000"," 3800 Yonge St, Toronto ",43.7388999,-79.4067352,2,950
75,"355,000"," 88 Alton Towers Cir, Toronto ",43.8248259,-79.274493,10,250
76,"630,000"," 23 Lorraine Dr, Toronto ",43.7780172,-79.4166278,61,1300
77,"415,000"," 115 Omni Dr, Toronto ",43.7713861,-79.2607673,8,750
78,"1,220,000","874 Manning Ave, Toronto ",43.6701473,-79.4186045,25,1100
79,"310,000"," 100 Leeward Glwy, Toronto ",43.7118572,-79.3294906,9,250
80,"553,000"," 44 Chester Le Blvd, Toronto ",43.7957439,-79.3286663,17,650
81,"570,000","737 Craven Rd, Toronto ",43.6759032,-79.3224933,28,1300
82,"455,000"," 7 Bishop Ave, Toronto ",43.7816907,-79.4143853,39,650
83,"1,400,000"," 326 Carlaw Ave, Toronto ",43.6639075,-79.3418031,47,2124
84,"1,535,000","56 Victor Ave, Toronto ",43.6171998,-79.4924244,16,1100
85,"595,000"," 195 Wynford Dr, Toronto ",43.723587,-79.3248786,4,1750
86,"1,450,000","29 Wellman Dr, Richmond Hill ",43.9603007,-79.4409961,1,1300
87,"412,000"," 85 Emmett Ave, Toronto ",43.6869671,-79.5060211,1,1300
88,"726,000","15 Fallingdale Cres, Toronto ",43.7538416,-79.4946629,4,1300
89,"765,000"," 30 Elsie Lane, Toronto ",43.6603491,-79.4519198,15,650
90,"545,000"," 56 Forest Manor Rd, Toronto ",43.7735533,-79.3449069,36,850
91,"967,500","54 Kimberdale Cres, Toronto ",43.7878493,-79.3096068,5,1300
92,"455,000"," 7 Bishop Ave, Toronto ",43.7816907,-79.4143853,39,1100
93,"350,000"," 3650 Kingston Rd, Toronto ",43.7424456,-79.2142294,7,750
94,"752,500"," 35 Foundry Ave, Toronto ",43.6704971,-79.4490273,12,550
95,"355,000"," 88 Alton Towers Cir, Toronto ",43.8248259,-79.274493,10,750
96,"462,500"," 10 Sunrise Ave, Toronto ",43.7197434,-79.3012217,16,650
97,"470,000"," 8 Mercer St, Toronto ",43.6460058,-79.3899085,93,750
98,"630,000"," 100 Harbour St, Toronto ",43.6417752,-79.3797532,100,250
99,"670,000"," 812 Burnhamthorpe Rd, Toronto ",43.6396794,-79.5815659,12,1100
100,"627,500"," 25 Oxley St, Toronto ",43.6462468,-79.3945285,73,1100
101,"1,420,000"," 10 Walker Ave, Toronto ",43.6827638,-79.393061,43,650
102,"1,175,000","311 Glenholme Ave, Toronto ",43.6862851,-79.4412812,7,550
103,"553,000"," 44 Chester Le Blvd, Toronto ",43.7957439,-79.3286663,17,250
